number,value,datetime_start,datetime_complete,duration,params_dim_n_components,params_xgb_alpha,params_xgb_colsample_bynode,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_min_split_loss,params_xgb_subsample,user_attrs_f1_discrepancy,user_attrs_hyperparameters,user_attrs_model_dim,user_attrs_model_xgb,state
25,0.673843,2025-08-10 21:48:37.779433,2025-08-10 21:48:55.370922,0 days 00:00:17.591489,700,19.191600129365007,0.2809906454124315,15.278953597239285,0.0033150636657013357,4,11.051374069159543,1.4834658428699166,0.6598448836589252,0.14629199999999998,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.0033150636657013357, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.2809906454124315, xgb_subsample=0.6598448836589252, xgb_min_split_loss=1.4834658428699166, xgb_min_child_weight=11.051374069159543)",,,COMPLETE
26,0.674328,2025-08-10 21:48:55.371451,2025-08-10 21:49:27.623649,0 days 00:00:32.252198,800,16.467031434644646,0.2545042765528573,16.21724533865311,0.0016944178209836955,4,14.057616042973615,2.694984128271329,0.7809432242868914,0.143602,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.0016944178209836955, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.2545042765528573, xgb_subsample=0.7809432242868914, xgb_min_split_loss=2.694984128271329, xgb_min_child_weight=14.057616042973615)",,,COMPLETE
27,0.683027,2025-08-10 21:49:27.624234,2025-08-10 21:49:55.802993,0 days 00:00:28.178759,700,14.407578469973583,0.10119523610425188,13.217181639255893,0.006071922628272788,6,16.999724637017856,2.231048793339032,0.540987608206198,0.283122,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=6, xgb_learning_rate=0.006071922628272788, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.10119523610425188, xgb_subsample=0.540987608206198, xgb_min_split_loss=2.231048793339032, xgb_min_child_weight=16.999724637017856)",,,COMPLETE
28,0.673297,2025-08-10 21:49:55.803545,2025-08-10 21:50:45.417709,0 days 00:00:49.614164,500,9.438208111839183,0.3067550876579763,15.573817150010713,0.0006743143235518529,5,13.934885255489778,1.4435946362879684,0.470031299085665,0.161207,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.0006743143235518529, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.3067550876579763, xgb_subsample=0.470031299085665, xgb_min_split_loss=1.4435946362879684, xgb_min_child_weight=13.934885255489778)",,,COMPLETE
29,0.682843,2025-08-10 21:50:45.418282,2025-08-10 21:51:13.820969,0 days 00:00:28.402687,600,16.68899355619248,0.17160166447942493,17.392629101367323,0.0029359685125955365,4,11.20089000446021,1.0284771106718689,0.6389335305084877,0.16410400000000003,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.0029359685125955365, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.17160166447942493, xgb_subsample=0.6389335305084877, xgb_min_split_loss=1.0284771106718689, xgb_min_child_weight=11.20089000446021)",,,COMPLETE
30,0.676178,2025-08-10 21:51:13.821584,2025-08-10 21:51:43.545016,0 days 00:00:29.723432,900,12.206679154273553,0.6470152122658048,13.743383349314728,0.001982299669960017,3,11.632350536211632,1.2854978059791762,0.4863170012366859,0.1212930000000001,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.001982299669960017, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.6470152122658048, xgb_subsample=0.4863170012366859, xgb_min_split_loss=1.2854978059791762, xgb_min_child_weight=11.632350536211632)",,,COMPLETE
31,0.686671,2025-08-10 21:51:43.545581,2025-08-10 21:52:05.308975,0 days 00:00:21.763394,900,15.92772039336614,0.40320774925006064,13.963606970632615,0.006077250473855715,4,7.558591426572771,1.3830949603467728,0.7150987349345863,0.22574699999999992,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.006077250473855715, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.40320774925006064, xgb_subsample=0.7150987349345863, xgb_min_split_loss=1.3830949603467728, xgb_min_child_weight=7.558591426572771)",,,COMPLETE
32,0.687102,2025-08-10 21:52:05.309539,2025-08-10 21:52:25.337513,0 days 00:00:20.027974,800,14.800736118909334,0.4881116266763409,12.150180111702946,0.007065338602122948,4,8.286565064708018,1.6809373876356037,0.6768475739391542,0.23230300000000004,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.007065338602122948, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4881116266763409, xgb_subsample=0.6768475739391542, xgb_min_split_loss=1.6809373876356037, xgb_min_child_weight=8.286565064708018)",,,COMPLETE
33,0.685483,2025-08-10 21:52:25.338113,2025-08-10 21:52:50.556056,0 days 00:00:25.217943,900,14.411840163063207,0.31860799445462273,15.745951289084013,0.0034569460242071777,5,9.899422654418412,1.6040553030954934,0.5682538299765629,0.23107600000000006,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.0034569460242071777, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.31860799445462273, xgb_subsample=0.5682538299765629, xgb_min_split_loss=1.6040553030954934, xgb_min_child_weight=9.899422654418412)",,,COMPLETE
34,0.678613,2025-08-10 21:52:50.556744,2025-08-10 21:53:08.973033,0 days 00:00:18.416289,700,12.51924412517,0.22979987771175647,14.448585903340511,0.005600613180572517,3,7.198167945349164,1.3259517047901614,0.7618009945735941,0.142598,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.005600613180572517, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.22979987771175647, xgb_subsample=0.7618009945735941, xgb_min_split_loss=1.3259517047901614, xgb_min_child_weight=7.198167945349164)",,,COMPLETE
35,0.685248,2025-08-10 21:53:08.973543,2025-08-10 21:53:32.238551,0 days 00:00:23.265008,800,18.64527026548268,0.4341772369686411,17.526753153847135,0.008126335709403226,3,10.085221824669263,1.8931346007954568,0.7019044712031101,0.19255600000000006,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.008126335709403226, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4341772369686411, xgb_subsample=0.7019044712031101, xgb_min_split_loss=1.8931346007954568, xgb_min_child_weight=10.085221824669263)",,,COMPLETE
36,0.687718,2025-08-10 21:53:32.239145,2025-08-10 21:54:02.349470,0 days 00:00:30.110325,600,15.347431769857607,0.24932473332905733,12.235204987557616,0.003668232776731861,5,7.194820203689089,4.414705414003754,0.5267791471426932,0.2334679999999999,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.003668232776731861, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.24932473332905733, xgb_subsample=0.5267791471426932, xgb_min_split_loss=4.414705414003754, xgb_min_child_weight=7.194820203689089)",,,COMPLETE
37,0.686873,2025-08-10 21:54:02.350092,2025-08-10 21:54:16.017074,0 days 00:00:13.666982,800,17.266833595437635,0.52661907379431,13.82945120821012,0.0099075756394667,4,13.420068632792855,1.194182985860627,0.6498354892475948,0.21521600000000007,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.0099075756394667, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.52661907379431, xgb_subsample=0.6498354892475948, xgb_min_split_loss=1.194182985860627, xgb_min_child_weight=13.420068632792855)",,,COMPLETE
38,0.683944,2025-08-10 21:54:16.017584,2025-08-10 21:54:50.278511,0 days 00:00:34.260927,900,13.133041728681567,0.380032858891775,15.024980755312807,0.0023009212299500647,6,10.485762549935659,2.989067111096177,0.12968212764206077,0.26410599999999995,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=6, xgb_learning_rate=0.0023009212299500647, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.380032858891775, xgb_subsample=0.12968212764206077, xgb_min_split_loss=2.989067111096177, xgb_min_child_weight=10.485762549935659)",,,COMPLETE
39,0.640854,2025-08-10 21:54:50.279108,2025-08-10 21:54:59.279142,0 days 00:00:09.000034,700,18.027071388714972,0.32603669288150927,16.936961249597914,0.0002373506745394035,5,5.3417091919518525,2.428905151523602,0.6153099271682358,0.06132199999999999,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.0002373506745394035, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.32603669288150927, xgb_subsample=0.6153099271682358, xgb_min_split_loss=2.428905151523602, xgb_min_child_weight=5.3417091919518525)",,,COMPLETE
40,0.659345,2025-08-10 21:54:59.279693,2025-08-10 21:55:24.890327,0 days 00:00:25.610634,500,13.892971545857254,0.17086876024095393,13.237896139192895,0.00127522741131435,3,9.602855370079281,1.0058000471710136,0.7410405551185708,0.080731,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.00127522741131435, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.17086876024095393, xgb_subsample=0.7410405551185708, xgb_min_split_loss=1.0058000471710136, xgb_min_child_weight=9.602855370079281)",,,COMPLETE
41,0.683013,2025-08-10 21:55:24.890876,2025-08-10 21:55:40.580856,0 days 00:00:15.689980,600,15.086110592267845,0.24961460491993126,12.1374268087353,0.004775795860224347,5,7.089718625669419,3.9501103307297787,0.5180199190859037,0.19742800000000005,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.004775795860224347, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.24961460491993126, xgb_subsample=0.5180199190859037, xgb_min_split_loss=3.9501103307297787, xgb_min_child_weight=7.089718625669419)",,,COMPLETE
