trial_number,timestamp,val_f1,train_f1,f1_discrepancy,val_err,train_err,err_discrepancy,hp_dim_n_components,hp_xgb_max_depth,hp_xgb_learning_rate,hp_xgb_subsample,hp_xgb_colsample_bynode,hp_xgb_min_child_weight,hp_xgb_min_split_loss,hp_xgb_lambda,hp_xgb_alpha,hp_val_split,hp_seed,hp_num_rounds,hp_early_stopping_rounds,hp_dim_reduction_method,hp_xgb_num_parallel_tree
24,2025-08-10T21:48:10.845794,0.687945,0.922809,0.23486399999999996,0.2961885365144021,0.07371483996120272,0.22247369655319937,700,4,0.005830517509033727,0.6577052275943703,0.2858995506000682,11.186338283044488,1.4111060965997266,14.301510884543465,16.436693104110677,0.4,42,100000,500,svd,1
25,2025-08-10T21:48:37.779444,0.673843,0.820135,0.14629199999999998,0.3123363398312482,0.17255092143549952,0.13978541839574868,700,4,0.0033150636657013357,0.6598448836589252,0.2809906454124315,11.051374069159543,1.4834658428699166,15.278953597239285,19.191600129365007,0.4,42,100000,500,svd,1
26,2025-08-10T21:48:55.371463,0.674328,0.81793,0.143602,0.3117544370090195,0.17487875848690593,0.13687567852211358,800,4,0.0016944178209836955,0.7809432242868914,0.2545042765528573,14.057616042973615,2.694984128271329,16.21724533865311,16.467031434644646,0.4,42,100000,500,svd,1
27,2025-08-10T21:49:27.624245,0.683027,0.966149,0.283122,0.29895257491998833,0.03220174587778855,0.26675082904219977,700,6,0.006071922628272788,0.540987608206198,0.10119523610425188,16.999724637017856,2.231048793339032,13.217181639255893,14.407578469973583,0.4,42,100000,500,svd,1
28,2025-08-10T21:49:55.803556,0.673297,0.834504,0.161207,0.3132091940645912,0.1585838991270611,0.15462529493753008,500,5,0.0006743143235518529,0.470031299085665,0.3067550876579763,13.934885255489778,1.4435946362879684,15.573817150010713,9.438208111839183,0.4,42,100000,500,svd,1
29,2025-08-10T21:50:45.418295,0.682843,0.846947,0.16410400000000003,0.30302589467558916,0.14684772065955384,0.15617817401603531,600,4,0.0029359685125955365,0.6389335305084877,0.17160166447942493,11.20089000446021,1.0284771106718689,17.392629101367323,16.68899355619248,0.4,42,100000,500,svd,1
30,2025-08-10T21:51:13.821595,0.676178,0.797471,0.1212930000000001,0.3095723014256619,0.19427740058195928,0.11529490084370261,900,3,0.001982299669960017,0.4863170012366859,0.6470152122658048,11.632350536211632,1.2854978059791762,13.743383349314728,12.206679154273553,0.4,42,100000,500,svd,1
31,2025-08-10T21:51:43.545592,0.686671,0.912418,0.22574699999999992,0.2976432935699738,0.08360814742967992,0.2140351461402939,900,4,0.006077250473855715,0.7150987349345863,0.40320774925006064,7.558591426572771,1.3830949603467728,13.963606970632615,15.92772039336614,0.4,42,100000,500,svd,1
32,2025-08-10T21:52:05.309552,0.687102,0.919405,0.23230300000000004,0.29749781786441665,0.07691561590688652,0.22058220195753014,800,4,0.007065338602122948,0.6768475739391542,0.4881116266763409,8.286565064708018,1.6809373876356037,12.150180111702946,14.800736118909334,0.4,42,100000,500,svd,1
33,2025-08-10T21:52:25.338126,0.685483,0.916559,0.23107600000000006,0.2990980506255455,0.07963142580019399,0.2194666248253515,900,5,0.0034569460242071777,0.5682538299765629,0.31860799445462273,9.899422654418412,1.6040553030954934,15.745951289084013,14.411840163063207,0.4,42,100000,500,svd,1
34,2025-08-10T21:52:50.556761,0.678613,0.821211,0.142598,0.30782659295897585,0.17148399612027157,0.13634259683870428,700,3,0.005600613180572517,0.7618009945735941,0.22979987771175647,7.198167945349164,1.3259517047901614,14.448585903340511,12.51924412517,0.4,42,100000,500,svd,1
35,2025-08-10T21:53:08.973555,0.685248,0.877804,0.19255600000000006,0.30055280768111725,0.11687681862269642,0.18367598905842084,800,3,0.008126335709403226,0.7019044712031101,0.4341772369686411,10.085221824669263,1.8931346007954568,17.526753153847135,18.64527026548268,0.4,42,100000,500,svd,1
36,2025-08-10T21:53:32.239157,0.687718,0.921186,0.2334679999999999,0.2967704393366308,0.07516973811833172,0.22160070121829906,600,5,0.003668232776731861,0.5267791471426932,0.24932473332905733,7.194820203689089,4.414705414003754,12.235204987557616,15.347431769857607,0.4,42,100000,500,svd,1
37,2025-08-10T21:54:02.350104,0.686873,0.902089,0.21521600000000007,0.2988070992144312,0.09350145489815713,0.20530564431627407,800,4,0.0099075756394667,0.6498354892475948,0.52661907379431,13.420068632792855,1.194182985860627,13.82945120821012,17.266833595437635,0.4,42,100000,500,svd,1
38,2025-08-10T21:54:16.017596,0.683944,0.94805,0.26410599999999995,0.29793424498108817,0.04946653734238603,0.24846770763870213,900,6,0.0023009212299500647,0.12968212764206077,0.380032858891775,10.485762549935659,2.989067111096177,15.024980755312807,13.133041728681567,0.4,42,100000,500,svd,1
